city,state_name,lat,lng,population,distance.to.coast_km,total_richness,total_lists,Area_km2,Included_in_analysis
Columbus_MS,Mississippi,33.5086,-88.4134,32386,338.3023910868016,171,792,65997.347,Yes
Statesboro_GA,Georgia,32.4376,-81.775,40141,69.41018598288362,163,686,66462.973,Yes
DeKalb_IL,Illinois,41.9299,-88.7478,67501,835.036919610836,215,815,66748.857,Yes
Turlock_CA,California,37.5053,-120.8588,106100,56.01744843410236,148,243,66815.69,Yes
Napa_CA,California,38.2982,-122.3011,87733,19.608783180413997,261,2696,66897.984,Yes
Plattsburgh_NY,New York,44.6951,-73.4563,29130,59.70115660654244,173,290,67103.61,Yes
Fairmont_WV,West Virginia,39.4768,-80.149,33265,212.4343790384023,205,2302,67657.731,Yes
Longmont_CO,Colorado,40.1691,-105.0995,97835,1055.8336303465205,320,8813,68006.081,Yes
Greeneville_TN,Tennessee,36.168,-82.8197,23953,355.54703700441087,155,515,68077.568,Yes
Mankato_MN,Minnesota,44.172,-93.9782,61115,1182.6574754126175,143,151,68257.221,Yes
Williamsport_PA,Pennsylvania,41.2398,-77.0371,55100,165.02064955301816,249,9649,68629.711,Yes
San Marcos_TX,Texas,29.8766,-97.9311,72928,145.52794861470193,287,3860,68725.451,Yes
Moses Lake_WA,Washington,47.1276,-119.2762,36662,158.51432969193706,169,418,68811.731,Yes
Warsaw_IN,Indiana,41.2443,-85.8479,32622,628.4689773306771,193,444,68909.186,Yes
Lumberton_NC,North Carolina,34.6309,-79.0181,29681,81.21465647896795,86,42,69029.727,No
Roswell_NM,New Mexico,33.3729,-104.5294,49540,696.8635228057758,176,393,69896.588,Yes
Athens_AL,Alabama,34.7846,-86.9516,28938,491.7070498312537,70,39,69988.372,No
Grants Pass_OR,Oregon,42.4334,-123.3318,55265,70.55840096787601,211,3927,70506.981,Yes
Columbus_IN,Indiana,39.2094,-85.9178,58406,665.8867242467732,197,626,70654.375,Yes
Vacaville_CA,California,38.3592,-121.9686,99059,24.38610510574658,217,1903,70996.926,Yes
Hanford_CA,California,36.326,-119.6539,90515,155.7443508188511,176,347,71882.013,Yes
Marion_OH,Ohio,40.5933,-83.1237,45718,432.7102056559482,169,1065,71883.264,Yes
Zanesville_OH,Ohio,39.9567,-82.0133,42097,350.3370239413675,184,568,72227.601,Yes
Grass Valley_CA,California,39.2236,-121.0549,34508,193.80936231837603,178,2829,72520.015,Yes
Muskogee_OK,Oklahoma,35.743,-95.3567,41117,635.7791410835592,127,49,72607.239,No
Grand Island_NE,Nebraska,40.9214,-98.3585,53556,1188.431361057795,148,457,72721.969,Yes
Helena_MT,Montana,46.5963,-112.0196,49812,606.9868830533213,261,7072,72922.756,Yes
New Castle_PA,Pennsylvania,40.9956,-80.3458,39873,278.21949551358887,142,1593,74126.774,Yes
Branson_MO,Missouri,36.6504,-93.2636,24603,692.0578774036081,202,644,74471.025,Yes
State College_PA,Pennsylvania,40.791,-77.8568,87374,157.37501801707828,256,24304,74653.998,Yes
Fond du Lac_WI,Wisconsin,43.7719,-88.4396,54811,825.9042814457375,237,1961,74808.574,Yes
Sanford_NC,North Carolina,35.4822,-79.1773,34339,142.47494011791215,139,532,74959.126,Yes
Victoria_TX,Texas,28.8284,-96.9848,68845,28.096061371871045,265,823,75166.22,Yes
Lebanon_TN,Tennessee,36.2038,-86.3467,33068,508.8980430914634,154,1305,75202.707,Yes
Santa Maria_CA,California,34.9334,-120.4433,139270,14.19763623372169,242,1309,75437.541,Yes
Shelby_NC,North Carolina,35.289,-81.5416,27288,237.63660089787624,165,521,75478.439,Yes
Granbury_TX,Texas,32.448,-97.7681,34544,327.6878230111806,202,501,75657.453,Yes
Lincolnton_NC,North Carolina,35.4746,-81.2385,23264,233.7237701418798,112,72,76443.008,Yes
Lake Havasu City_AZ,Arizona,34.5006,-114.3115,54662,372.2657063965059,279,3826,76515.898,Yes
Danville_IL,Illinois,40.1422,-87.6113,48785,780.125163988933,171,469,77199.269,Yes
Oak Harbor_WA,Washington,48.2965,-122.6331,34689,0.9245179933961213,192,1640,77387.516,Yes
Titusville_FL,Florida,28.5725,-80.8193,57193,2.419252367336896,247,6814,78037.719,Yes
